DB#,Book,Lesson#,MsgID,GregDate,HijriDate,AudioFilename,Duration
134,كتاب الجهاد,12,4974,16.12.2024,1446/06/15,AUD-20241210-WA0012.m4a,21:41
135,كتاب الجهاد,13,4976,16.12.2024,1446/06/15,AUD-20241216-WA0006.m4a,33:58
136,كتاب الجهاد,14,4983,23.12.2024,1446/06/22,AUD-20241217-WA0000.m4a,22:29
137,كتاب الجهاد,15,4995,23.12.2024,1446/06/22,AUD-20241223-WA0024.m4a,38:57
138,كتاب الجهاد,16,5008,25.12.2024,1446/06/24,AUD-20241225-WA0010.m4a,32:10
139,كتاب الجهاد,17,5028,30.12.2024,1446/06/29,AUD-20241230-WA0000.m4a,13:11
140,كتاب الجهاد,18,5061,08.01.2025,1446/07/08,AUD-20250108-WA0029.m4a,26:06
141,كتاب الجهاد,19,5087,19.01.2025,1446/07/19,AUD-20250113-WA0002.m4a,42:07
142,كتاب البيوع,1,5103,26.01.2025,1446/07/26,AUD-20250126-WA0001.m4a,28:28
143,كتاب البيوع,2,5122,29.01.2025,1446/07/29,AUD-20250129-WA0003.m4a,24:22
144,كتاب البيوع,3,5134,03.02.2025,1446/08/04,AUD-20250202-WA0002.m4a,23:53
145,كتاب البيوع,4,5158,18.02.2025,1446/08/19,AUD-20250217-WA0028.m4a,29:15
146,كتاب البيوع,5,5538,07.07.2025,1447/01/12,AUD-20250707-WA0000.m4a,14:32
147,كتاب البيوع,6,5543,08.07.2025,1447/01/13,AUD-20250708-WA0002.m4a,15:39
148,كتاب البيوع,7,5590,15.07.2025,1447/01/20,AUD-20250715-WA0004.m4a,19:30
149,كتاب البيوع,8,5813,26.10.2025,1447/05/04,AUD-20251026-WA0007.m4a,09:33
150,كتاب البيوع,9,5818,26.10.2025,1447/05/04,AUD-20251021-WA0026.m4a,17:12
151,كتاب البيوع,10,5705,08.10.2025,1447/04/16,4_5996911497937164265.mp3,18:36
152,كتاب البيوع,11,5718,10.10.2025,1447/04/18,Mp3 Editor_251010204807.mp3,23:24
153,كتاب البيوع,12,5719,10.10.2025,1447/04/18,Mp3 Editor_251010205658.mp3,10:37
154,كتاب البيوع,13,5730,14.10.2025,1447/04/22,Mp3 Editor_251013232558.mp3,13:02
155,كتاب البيوع,14,5734,15.10.2025,1447/04/23,AUD-20251012-WA0011.m4a,23:00
156,كتاب البيوع,15,5749,16.10.2025,1447/04/24,Mp3 Editor_251015224410.mp3,14:15
157,كتاب البيوع,16,5751,16.10.2025,1447/04/24,Mp3 Editor_251015230010.mp3,13:16
158,كتاب البيوع,17,5757,17.10.2025,1447/04/25,AUD-20251012-WA0037.m4a,16:31
159,كتاب البيوع,18,5813,26.10.2025,1447/05/04,AUD-20251026-WA0007.m4a,09:33
160,كتاب البيوع,19,5818,26.10.2025,1447/05/04,AUD-20251021-WA0026.m4a,17:12
161,كتاب البيوع,20,5819,26.10.2025,1447/05/04,AUD-20251021-WA0036.m4a,18:56
162,كتاب البيوع,21,5830,29.10.2025,1447/05/07,AUD-20251029-WA0000.m4a,25:02
